Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
1307,Golden Sun,golden-sun,Role-Playing,E,GBA,Nintendo,Camelot Software Planning,,9.1,,1.65,0.0,,,,,2001.0,,http://www.vgchartz.com/game/3417/golden-sun/?region=All,1,,/games/boxart/218442ccc.jpg,1.65
1308,Street Fighter II': Special Champion Edition,street-fighter-ii-special-champion-edition,Fighting,,GEN,Capcom,Capcom,,,,1.65,0.0,,,,,1993.0,,http://www.vgchartz.com/game/6452/street-fighter-ii-special-champion-edition/?region=All,1,,/games/boxart/7960574ccc.jpg,1.65
1309,Super Scope 6,super-scope-6,Shooter,,SNES,Nintendo,Nintendo R&D1,,,,1.65,0.0,,,,,1992.0,,http://www.vgchartz.com/game/6460/super-scope-6/?region=All,1,,/games/boxart/1620986ccc.jpg,1.65
1310,Heavenly Sword,heavenly-sword,Action,T,PS3,Sony Computer Entertainment,Ninja Theory,,8.0,,0.0,1.65,0.57,0.73,0.06,0.29,2007.0,,http://www.vgchartz.com/game/6978/heavenly-sword/?region=All,1,,/games/boxart/full_2157803AmericaFrontccc.jpg,1.65
1311,MySims,mysims,Simulation,E,Wii,Electronic Arts,EA Redwood Shores,,7.1,,0.0,1.65,0.9,0.54,0.04,0.17,2007.0,,http://www.vgchartz.com/game/7495/mysims/?region=All,1,,/games/boxart/full_5291444AmericaFrontccc.jpg,1.65
1312,Need for Speed Carbon,need-for-speed-carbon,Racing,E10,X360,Electronic Arts,EA Black Box,,7.9,,0.0,1.65,0.76,0.69,0.02,0.18,2006.0,,http://www.vgchartz.com/game/3908/need-for-speed-carbon/?region=All,1,,/games/boxart/2714961ccc.jpg,1.65
1313,Plants vs. Zombies,plants-vs-zombies,Strategy,E10,PC,PopCap Games,PopCap Games,,9.0,,1.65,0.0,,,,,2009.0,,http://www.vgchartz.com/game/34015/plants-vs-zombies/?region=All,1,8.4,/games/boxart/full_1604043AmericaFrontccc.jpg,1.65
1314,Watch Dogs,watch-dogs,Action-Adventure,M,XOne,Ubisoft,Ubisoft Montreal,,,,0.0,1.64,0.91,0.59,,0.15,2014.0,15th Mar 18,http://www.vgchartz.com/game/72078/watch-dogs/?region=All,1,,/games/boxart/full_7106511AmericaFrontccc.jpg,1.64
1315,Persona 5,persona-5,Role-Playing,M,PS4,Atlus,Atlus,,,,0.0,1.64,0.62,0.34,0.48,0.2,2017.0,31st Dec 17,http://www.vgchartz.com/game/84679/persona-5/?region=All,1,,/games/boxart/full_4399977AmericaFrontccc.jpg,1.64
1316,Army of Two,army-of-two,Shooter,M,X360,Electronic Arts,EA Montreal,,6.7,,0.0,1.64,1.09,0.37,0.02,0.16,2008.0,03rd Feb 18,http://www.vgchartz.com/game/16938/army-of-two/?region=All,1,,/games/boxart/full_7449241AmericaFrontccc.jpg,1.64
