Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
4001,Championship Motocross featuring Ricky Carmichael,championship-motocross-featuring-ricky-carmichael,Racing,E,PS,THQ,Funcom,,7.5,,0.0,0.58,0.32,0.22,,0.04,1999.0,,http://www.vgchartz.com/game/338/championship-motocross-featuring-ricky-carmichael/?region=All,1,,/games/boxart/full_2370672AmericaFrontccc.jpg,0.58
4002,Dragon Ball Z: Chou Saiya Densetsu,dragon-ball-z-chou-saiya-densetsu,Role-Playing,,SNES,Bandai,TOSE,,,,0.0,0.58,,,0.58,,1992.0,,http://www.vgchartz.com/game/3171/dragon-ball-z-chou-saiya-densetsu/?region=All,1,,/games/boxart/full_6021853JapanFrontccc.jpg,0.58
4003,NEKOPARA Vol. 1,nekopara-vol-1,Visual Novel,,PC,Unknown,Neko Works,,,,0.58,0.0,,,,,1992.0,08th Feb 19,http://www.vgchartz.com/game/223446/nekopara-vol-1/?region=All,1,,/games/boxart/full_7445079AmericaFrontccc.jpg,0.58
4004,Skate it,skate-it,Sports,E,Wii,Electronic Arts,EA Montreal,,6.6,,0.0,0.58,0.5,0.03,,0.04,2008.0,,http://www.vgchartz.com/game/24042/skate-it/?region=All,1,7.2,/games/boxart/full_6762668AmericaFrontccc.jpg,0.58
4005,Disney Magic World 2,disney-magic-world-2,Simulation,E,3DS,Nintendo,High Horse Entertainment,,7.5,,0.0,0.58,0.07,0.25,0.23,0.02,2016.0,08th Jan 18,http://www.vgchartz.com/game/86172/disney-magic-world-2/?region=All,1,,/games/boxart/full_2207606AmericaFrontccc.jpg,0.58
4006,My Secret World by Imagine,my-secret-world-by-imagine,Misc,E,DS,Ubisoft,Ubisoft Milan,,,,0.0,0.58,0.38,0.19,,0.01,2008.0,,http://www.vgchartz.com/game/27257/my-secret-world-by-imagine/?region=All,1,,/games/boxart/full_5389087AmericaFrontccc.jpg,0.58
4007,Fire Emblem: Seisen no Keifu,fire-emblem-seisen-no-keifu,Strategy,,SNES,Nintendo,Intelligent Systems,,,,0.0,0.58,,,0.58,,1996.0,,http://www.vgchartz.com/game/3336/fire-emblem-seisen-no-keifu/?region=All,1,,/games/boxart/full_7735142JapanFrontccc.jpg,0.58
4008,ABZU,abzu,Adventure,E,PC,505 Games,Giant Squid Studios,,,,0.58,0.0,,,,,2016.0,01st Aug 18,http://www.vgchartz.com/game/118836/abzu/?region=All,1,,/games/boxart/full_8381592AmericaFrontccc.jpg,0.58
4009,Tenchu 2: Birth of the Stealth Assassins,tenchu-2-birth-of-the-stealth-assassins,Action,M,PS,Activision,Acquire,,8.5,,0.0,0.58,0.32,0.22,,0.04,2000.0,,http://www.vgchartz.com/game/2350/tenchu-2-birth-of-the-stealth-assassins/?region=All,1,,/games/boxart/7462190ccc.jpg,0.58
4010,Sniper Elite: Nazi Zombie Army,sniper-elite-nazi-zombie-army,Shooter,,PC,Unknown,Rebellion Games,,,,0.58,0.0,,,,,2000.0,08th Feb 19,http://www.vgchartz.com/game/223447/sniper-elite-nazi-zombie-army/?region=All,1,,/games/boxart/full_2035586AmericaFrontccc.jpg,0.58
