Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
7001,Tigger's Honey Hunt,tiggers-honey-hunt,Platform,E,PS,NewKidCo,Doki Denki,,,,0.0,0.28,0.16,0.11,,0.02,2000.0,,http://www.vgchartz.com/game/28313/tiggers-honey-hunt/?region=All,1,,/games/boxart/full_7505880AmericaFrontccc.jpg,0.28
7002,The Warriors,the-warriors,Action,M,XB,Rockstar Games,Rockstar Toronto,,,,0.0,0.28,0.21,0.06,,0.01,2005.0,,http://www.vgchartz.com/game/2419/the-warriors/?region=All,1,,/games/boxart/7784276ccc.jpg,0.28
7003,Shadow Hearts,shadow-hearts,Role-Playing,M,PS2,Midway Games,Sacnoth,,7.0,,0.0,0.28,0.09,0.07,0.1,0.02,2001.0,,http://www.vgchartz.com/game/2016/shadow-hearts/?region=All,1,,/games/boxart/2020464ccc.jpg,0.28
7004,Bladestorm: The Hundred Years' War,bladestorm-the-hundred-years-war,Action,T,PS3,KOEI,Omega Force,,,,0.0,0.28,0.1,0.03,0.14,0.02,2007.0,,http://www.vgchartz.com/game/7242/bladestorm-the-hundred-years-war/?region=All,1,,/games/boxart/full_8500562AmericaFrontccc.jpg,0.28
7005,Assassin's Creed II: Discovery,assassins-creed-ii-discovery,Platform,T,DS,Ubisoft,Griptonite Games,,7.3,,0.0,0.28,0.15,0.11,,0.03,2009.0,,http://www.vgchartz.com/game/39405/assassins-creed-ii-discovery/?region=All,1,,/games/boxart/full_7706957AmericaFrontccc.jpg,0.28
7006,Haven: Call of the King,haven-call-of-the-king,Platform,T,PS2,Midway Games,Traveller's Tales,,,,0.0,0.28,0.14,0.11,,0.04,2002.0,,http://www.vgchartz.com/game/964/haven-call-of-the-king/?region=All,1,,/games/boxart/full_763205AmericaFrontccc.jpg,0.28
7007,Street Hoops,street-hoops,Sports,T,XB,Activision,Black Ops Entertainment,,,,0.0,0.28,0.21,0.06,,0.01,2002.0,,http://www.vgchartz.com/game/2245/street-hoops/?region=All,1,,/games/boxart/1270727ccc.gif,0.28
7008,Disney Channel: All Star Party,disney-channel-all-star-party,Misc,E,Wii,Disney Interactive Studios,"Page 44 Studios, LLC",,,,0.0,0.28,0.18,0.08,,0.03,2010.0,,http://www.vgchartz.com/game/47270/disney-channel-all-star-party/?region=All,1,,/games/boxart/full_disney-channel-all-star-party_1AmericaFront.jpg,0.28
7009,Dark Souls II: Scholar of the First Sin,dark-souls-ii-scholar-of-the-first-sin,Role-Playing,,XOne,Namco Bandai Games,From Software,,,,0.0,0.28,0.19,0.07,,0.03,2015.0,09th Mar 18,http://www.vgchartz.com/game/85344/dark-souls-ii-scholar-of-the-first-sin/?region=All,1,,/games/boxart/full_3243748AmericaFrontccc.jpg,0.28
7010,Yu-Gi-Oh! Double Pack,yu-gi-oh-double-pack,Role-Playing,E,GBA,Konami,Konami,,,,0.0,0.28,0.2,0.08,,0.01,2006.0,,http://www.vgchartz.com/game/45402/yu-gi-oh-double-pack/?region=All,1,,/games/boxart/full_9033425AmericaFrontccc.jpg,0.28
7011,X-Men: Reign of Apocalypse,x-men-reign-of-apocalypse,Action,E,GBA,Activision,Digital Eclipse,,,,0.0,0.28,0.2,0.08,,0.01,2001.0,,http://www.vgchartz.com/game/25573/x-men-reign-of-apocalypse/?region=All,1,,/games/boxart/7655544ccc.jpg,0.28
7012,Star Trek Bridge Crew,star-trek-bridge-crew,Action,E10,PS4,Ubisoft,Red Storm Entertainment,,,,0.0,0.28,0.11,0.12,,0.05,2017.0,09th Apr 18,http://www.vgchartz.com/game/158304/star-trek-bridge-crew/?region=All,1,,/games/boxart/full_4050143AmericaFrontccc.jpg,0.28
7013,R: Racing Evolution,r-racing-evolution,Racing,T,PS2,Namco,Namco,,,,0.0,0.28,0.14,0.11,,0.04,2003.0,,http://www.vgchartz.com/game/5606/r-racing-evolution/?region=All,1,,/games/boxart/full_9624864AmericaFrontccc.jpg,0.28
7014,Netsu Chu! Pro Yakyuu 2003,netsu-chu-pro-yakyuu-2003,Sports,,PS2,Namco,Namco,,,,0.0,0.28,,,0.28,,2003.0,,http://www.vgchartz.com/game/3922/netsu-chu-pro-yakyuu-2003/?region=All,1,,/games/boxart/full_8891180JapanFrontccc.jpg,0.28
7015,Next Hatsune Miku: Project Diva,next-hatsune-miku-project-diva,Music,,PS3,Sega,Sega,,,,0.0,0.28,0.08,,0.19,0.02,2013.0,19th Oct 18,http://www.vgchartz.com/game/70730/next-hatsune-miku-project-diva/?region=All,1,,/games/boxart/full_3257372JapanFrontccc.jpg,0.28
7016,ATV Quad Power Racing 2,atv-quad-power-racing-2,Racing,E,GC,Acclaim Entertainment,Climax Entertainment,,,,0.0,0.28,0.22,0.06,,0.01,2003.0,,http://www.vgchartz.com/game/4836/atv-quad-power-racing-2/?region=All,1,,/games/boxart/2587004ccc.jpg,0.28
7017,Digimon Adventure: Anode Tamer,digimon-adventure-anode-tamer,Role-Playing,,WS,Bandai,Bandai,,,,0.0,0.28,,,0.28,,1999.0,,http://www.vgchartz.com/game/3091/digimon-adventure-anode-tamer/?region=All,1,,/games/boxart/full_3474537JapanFrontccc.jpg,0.28
7018,DeathSmiles,deathsmiles,Shooter,T,X360,Aksys Games,Cave,,8.0,,0.0,0.28,0.15,0.06,0.05,0.02,2010.0,,http://www.vgchartz.com/game/34131/deathsmiles/?region=All,1,,/games/boxart/full_9761625AmericaFrontccc.jpg,0.28
7019,Fantastic 4: Flame On,fantastic-4-flame-on,Action,E10,GBA,Activision,Torus Games,,,,0.0,0.28,0.2,0.08,,0.01,2005.0,,http://www.vgchartz.com/game/25482/fantastic-4-flame-on/?region=All,1,,/games/boxart/8697403ccc.jpg,0.28
7020,World of Tanks,world-of-tanks,Shooter,T,PC,Wargaming.net,Wargaming.net,,7.8,,0.0,0.28,,0.23,,0.05,2011.0,,http://www.vgchartz.com/game/50608/world-of-tanks/?region=All,1,,/games/boxart/full_world-of-tanks_316AmericaFront.jpg,0.28
7021,Marvel Nemesis: Rise of the Imperfects,marvel-nemesis-rise-of-the-imperfects,Fighting,T,XB,Electronic Arts,Nihilistic Software,,,,0.0,0.28,0.21,0.06,,0.01,2005.0,,http://www.vgchartz.com/game/1270/marvel-nemesis-rise-of-the-imperfects/?region=All,1,,/games/boxart/4690142ccc.jpg,0.28
7022,All Star Cheer Squad,all-star-cheer-squad,Sports,E,DS,THQ,Gorilla Systems,,,,0.0,0.28,0.26,0.0,,0.02,2008.0,,http://www.vgchartz.com/game/19972/all-star-cheer-squad/?region=All,1,,/games/boxart/full_25567AmericaFrontccc.jpg,0.28
7023,The King of Fighters '95,the-king-of-fighters-95,Fighting,,SAT,SNK,SNK Corporation,,,,0.0,0.28,,,0.28,,1996.0,,http://www.vgchartz.com/game/4551/the-king-of-fighters-95/?region=All,1,,/games/boxart/full_5086635PALFrontccc.jpg,0.28
7024,Pirates of the Caribbean: Dead Man's Chest,pirates-of-the-caribbean-dead-mans-chest,Adventure,T,PSP,Buena Vista,Griptonite Games,,4.3,,0.0,0.28,0.25,0.01,,0.02,2006.0,,http://www.vgchartz.com/game/6109/pirates-of-the-caribbean-dead-mans-chest/?region=All,1,,/games/boxart/6370668ccc.jpg,0.28
7025,F/A-18F Super Hornet,f,Simulation,E,GBA,Majesco,UK Magic,,,,0.0,0.28,0.2,0.08,,0.01,2004.0,,http://www.vgchartz.com/game/26866/fa-18f-super-hornet/?region=All,1,,/games/boxart/8019060ccc.jpg,0.28
7026,Final Fantasy VI Advance,final-fantasy-vi-advance,Role-Playing,E10,GBA,Nintendo,Square Enix,,9.1,,0.0,0.28,,,0.28,0.01,2007.0,,http://www.vgchartz.com/game/3321/final-fantasy-vi-advance/?region=All,1,,/games/boxart/8957094ccc.jpg,0.28
7027,Hatoful Boyfriend,hatoful-boyfriend,Visual Novel,,PC,Devolver Digital,Mediatonic Ltd.,,,,0.28,0.0,,,,,2014.0,08th Aug 18,http://www.vgchartz.com/game/84260/hatoful-boyfriend/?region=All,1,,/games/boxart/full_2393801AmericaFrontccc.jpg,0.28
7028,Polaris,polaris,Action,,2600,Tigervision,Taito,,,,0.0,0.28,0.26,0.02,,0.0,1983.0,,http://www.vgchartz.com/game/21446/polaris/?region=All,1,,/games/boxart/1792918ccc.jpg,0.28
7029,WarioWare Gold,warioware-gold,Misc,E10,3DS,Nintendo,Intelligent Systems,,8.1,,0.0,0.28,0.11,0.03,0.13,0.01,2018.0,18th Nov 18,http://www.vgchartz.com/game/221274/warioware-gold/?region=All,1,,/games/boxart/full_3328496AmericaFrontccc.jpg,0.28
7030,Reel Fishing: Angler's Dream,reel-fishing-anglers-dream,Sports,E,Wii,Natsume,SIMS,,,,0.0,0.28,0.25,0.01,0.0,0.02,2009.0,,http://www.vgchartz.com/game/34362/reel-fishing-anglers-dream/?region=All,1,,/games/boxart/full_631222AmericaFrontccc.jpg,0.28
7031,Viewtiful Joe,viewtiful-joe,Action,T,PS2,Capcom,Clover Studio,,,,0.0,0.28,0.14,0.11,,0.04,2004.0,,http://www.vgchartz.com/game/5968/viewtiful-joe/?region=All,1,,/games/boxart/8186537ccc.gif,0.28
7032,Triple Play 2000,triple-play-2000,Sports,E,N64,EA Sports,Treyarch,,,,0.0,0.28,0.27,0.01,,0.0,1999.0,,http://www.vgchartz.com/game/2530/triple-play-2000/?region=All,1,,/games/boxart/full_9182190AmericaFrontccc.jpg,0.28
7033,Yakuza Kenzan!,yakuza-kenzan,Adventure,,PS3,Sega,Sega,,,,0.28,0.0,,,,,2008.0,03rd Jan 18,http://www.vgchartz.com/game/13543/yakuza-kenzan/?region=All,1,,/games/boxart/full_2743196JapanFrontccc.jpg,0.28
