Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
8835,Marvel Super Hero Squad: Comic Combat,marvel-super-hero-squad-comic-combat,Action,E10,PS3,THQ,THQ,,,,0.0,0.2,0.11,0.05,,0.03,2011.0,,http://www.vgchartz.com/game/65637/marvel-super-hero-squad-comic-combat/?region=All,1,,/games/boxart/full_marvel-super-hero-squad-comic-combat_964AmericaFront.jpg,0.2
8836,Space Pilgrim Episode I: Alpha Centauri,space-pilgrim-episode-i-alpha-centauri,Adventure,,PC,GrabTheGames,Pilgrim Adventures,,,,0.2,0.0,,,,,2015.0,27th Feb 19,http://www.vgchartz.com/game/223740/space-pilgrim-episode-i-alpha-centauri/?region=All,1,,/games/boxart/full_4741035AmericaFrontccc.jpg,0.2
8837,Full Mojo Rampage,full-mojo-rampage,Misc,,PC,Over The Top Games,Unknown,,,,0.2,0.0,,,,,2014.0,,http://www.vgchartz.com/game/82090/full-mojo-rampage/?region=All,1,,/games/boxart/full_5552739AmericaFrontccc.jpg,0.2
8838,Pro Yakyuu Spirits 2013,pro-yakyuu-spirits-2013,Sports,,PS3,Konami Digital Entertainment,Konami,,,,0.0,0.2,,,0.2,,2013.0,03rd Nov 18,http://www.vgchartz.com/game/71817/pro-yakyuu-spirits-2013/?region=All,1,,/games/boxart/full_9060151JapanFrontccc.jpg,0.2
8839,Titanfall 2,titanfall-2,Shooter,M,PC,Electronic Arts,Respawn Entertainment,,,,0.0,0.2,0.06,0.12,,0.01,2016.0,29th Jun 18,http://www.vgchartz.com/game/112245/titanfall-2/?region=All,1,,/games/boxart/full_4722031AmericaFrontccc.jpg,0.2
8840,Cabela's Big Game Hunter (2008),cabelas-big-game-hunter-2008,Sports,T,PS2,Activision,Sand Grain Studios,,,,0.0,0.2,0.1,0.08,,0.03,2007.0,,http://www.vgchartz.com/game/12590/cabelas-big-game-hunter-2008/?region=All,1,,/games/boxart/9443091ccc.gif,0.2
8841,Record of Agarest War,record-of-agarest-war,Role-Playing,T,X360,Aksys Games,Compile Heart,,7.0,,0.0,0.2,0.18,,0.01,0.01,2010.0,,http://www.vgchartz.com/game/29411/record-of-agarest-war/?region=All,1,,/games/boxart/full_8034305AmericaFrontccc.jpg,0.2
8842,Ridge Racer 6,ridge-racer-6,Racing,E,X360,Namco,Namco,,7.9,,0.0,0.2,0.1,0.02,0.07,0.01,2005.0,,http://www.vgchartz.com/game/1900/ridge-racer-6/?region=All,1,,/games/boxart/289961ccc.jpg,0.2
8843,The Cheetah Girls: Passport to Stardom,the-cheetah-girls-passport-to-stardom,Misc,E,DS,Disney Interactive Studios,Handheld Games,,,,0.0,0.2,0.18,,,0.01,2008.0,,http://www.vgchartz.com/game/24557/the-cheetah-girls-passport-to-stardom/?region=All,1,,/games/boxart/595910ccc.jpg,0.2
8844,Grandia II,grandia-ii,Role-Playing,T,DC,Ubisoft,Game Arts,,8.6,,0.0,0.2,,,0.2,0.0,2000.0,,http://www.vgchartz.com/game/3430/grandia-ii/?region=All,1,,/games/boxart/8697916ccc.jpg,0.2
8845,Just Hero,just-hero,Platform,,PC,Unknown,Anatoliy Loginovskikh,,,,0.2,0.0,,,,,2000.0,27th Feb 19,http://www.vgchartz.com/game/223741/just-hero/?region=All,1,,/games/boxart/full_3108917AmericaFrontccc.jpg,0.2
8846,Namco Museum Vol.4,namco-museum-vol4,Misc,E,PS,Namco,Namco,,,,0.0,0.2,0.02,0.01,0.16,0.01,1997.0,,http://www.vgchartz.com/game/3879/namco-museum-vol4/?region=All,1,,/games/boxart/full_8692401AmericaFrontccc.jpg,0.2
8847,Classic NES Series: Ice Climber,classic-nes-series-ice-climber,Platform,E,GBA,Nintendo,Nintendo,,6.1,,0.0,0.2,,,0.2,,2004.0,,http://www.vgchartz.com/game/3244/classic-nes-series-ice-climber/?region=All,1,,/games/boxart/6584133ccc.jpg,0.2
8848,Neighborhood Games,neighborhood-games,Misc,E,Wii,THQ,Jet Black Games,,,,0.0,0.2,0.17,0.02,,0.01,2009.0,,http://www.vgchartz.com/game/26138/neighborhood-games/?region=All,1,,/games/boxart/546394ccc.jpg,0.2
8849,Shark Tale,shark-tale,Action,E,XB,Activision,Edge of Reality,,,,0.0,0.2,0.15,0.04,,0.01,2004.0,,http://www.vgchartz.com/game/5684/shark-tale/?region=All,1,,/games/boxart/6892770ccc.jpg,0.2
8850,UFC Personal Trainer: The Ultimate Fitness System,ufc-personal-trainer-the-ultimate-fitness-system,Sports,E,Wii,THQ,THQ,,,,0.0,0.2,0.12,0.06,,0.02,2011.0,,http://www.vgchartz.com/game/48223/ufc-personal-trainer-the-ultimate-fitness-system/?region=All,1,,/games/boxart/full_ufc-personal-trainer-the-ultimate-fitness-system_437AmericaFront.jpg,0.2
8851,NFL Street 2,nfl-street-2,Sports,E,GC,EA Sports BIG,EA Tiburon,,8.2,,0.0,0.2,0.15,0.04,,0.01,2004.0,,http://www.vgchartz.com/game/5516/nfl-street-2/?region=All,1,,/games/boxart/full_8530086AmericaFrontccc.jpg,0.2
8852,Atelier Shallie: Alchemists of the Dusk Sea,atelier-shallie-alchemists-of-the-dusk-sea,Role-Playing,E10,PS3,Tecmo Koei,Gust,,,,0.0,0.2,0.07,0.03,0.08,0.02,2015.0,03rd Nov 18,http://www.vgchartz.com/game/80439/atelier-shallie-alchemists-of-the-dusk-sea/?region=All,1,,/games/boxart/full_613085AmericaFrontccc.jpg,0.2
8853,God Eater Resurrection,god-eater-resurrection,Action,,PSV,Namco Bandai Games,Namco Bandai Games,,,,0.0,0.2,,,0.2,,2016.0,10th Jun 18,http://www.vgchartz.com/game/85689/god-eater-resurrection/?region=All,1,,/games/boxart/full_2295518JapanFrontccc.jpg,0.2
8854,Pro Yakyuu Spirits 2013,pro-yakyuu-spirits-2013,Sports,,PSP,Konami Digital Entertainment,Konami,,,,0.0,0.2,,,0.2,,2013.0,03rd Nov 18,http://www.vgchartz.com/game/71815/pro-yakyuu-spirits-2013/?region=All,1,,/games/boxart/full_8855296JapanFrontccc.jpg,0.2
8855,My Secret World by Imagine,my-secret-world-by-imagine,Misc,E,DS,Ubisoft,Ubisoft,,,,0.0,0.2,,0.2,,,2008.0,,http://www.vgchartz.com/game/24559/my-secret-world-by-imagine/?region=All,1,,/games/boxart/4833593ccc.jpg,0.2
8856,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,teenage-mutant-ninja-turtles-3-mutant-nightmare,Action,E10,PS2,Konami,Konami,,,,0.0,0.2,0.1,0.08,,0.03,2005.0,,http://www.vgchartz.com/game/5810/teenage-mutant-ninja-turtles-3-mutant-nightmare/?region=All,1,,/games/boxart/full_1197389AmericaFrontccc.jpg,0.2
