Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
11001,Cabela's Dangerous Hunts 2009,cabelas-dangerous-hunts-2009,Sports,T,X360,Activision,Activision,,,,0.0,0.13,0.12,0.0,,0.01,2008.0,,http://www.vgchartz.com/game/27446/cabelas-dangerous-hunts-2009/?region=All,1,,/games/boxart/full_7104593AmericaFrontccc.jpg,0.13
11002,Dragon Age Origins: Awakening,dragon-age-origins-awakening,Role-Playing,M,PC,Electronic Arts,BioWare Corp.,,8.3,,0.0,0.13,0.01,0.1,,0.02,2010.0,,http://www.vgchartz.com/game/42454/dragon-age-origins-awakening/?region=All,1,,/games/boxart/full_4935578AmericaFrontccc.jpg,0.13
11003,R.B.I. Baseball 18,rbi-baseball-18,Sports,,NS,MLB Advanced Media,MLB.com,,,,0.0,0.13,0.12,,,0.01,2018.0,20th Jan 18,http://www.vgchartz.com/game/220862/rbi-baseball-18/?region=All,1,,/games/boxart/full_2982976AmericaFrontccc.jpg,0.13
11004,Aikatsu! 365 Idol Days,aikatsu-365-idol-days,Adventure,,3DS,Bandai Namco Games,Bandai Namco Games,,,,0.0,0.13,,,0.13,,2014.0,06th Aug 18,http://www.vgchartz.com/game/83869/aikatsu-365-idol-days/?region=All,1,,/games/boxart/full_5508319JapanFrontccc.jpg,0.13
11005,The Amazing Race,the-amazing-race,Misc,E,Wii,Ubisoft,Ludia Inc.,,,,0.0,0.13,0.12,,,0.01,2010.0,,http://www.vgchartz.com/game/46833/the-amazing-race/?region=All,1,,/games/boxart/full_the-amazing-race_5AmericaFront.jpg,0.13
11006,Destruction Derby Arenas,destruction-derby-arenas,Racing,T,PS2,Gathering of Developers,Studio 33,,,,0.0,0.13,0.06,0.05,,0.02,2004.0,,http://www.vgchartz.com/game/14826/destruction-derby-arenas/?region=All,1,,/games/boxart/5127451ccc.gif,0.13
11007,MLB Power Pros 2008,mlb-power-pros-2008,Sports,E,Wii,2K Sports,PawaPuro Production,,,,0.0,0.13,0.11,,0.01,0.01,2008.0,,http://www.vgchartz.com/game/23587/mlb-power-pros-2008/?region=All,1,,/games/boxart/4722423ccc.jpg,0.13
11008,Zenses: Ocean,zenses-ocean,Puzzle,E,DS,Game Factory,Shin'en,,,,0.0,0.13,0.11,0.01,,0.01,2008.0,,http://www.vgchartz.com/game/28579/zenses-ocean/?region=All,1,,/games/boxart/full_7794620AmericaFrontccc.jpg,0.13
11009,Project CARS,project-cars,Racing,E,PC,Bandai Namco Games,Slightly Mad Studios,,,,0.0,0.13,,0.12,,0.01,2015.0,05th Jan 18,http://www.vgchartz.com/game/73278/project-cars/?region=All,1,,/games/boxart/full_5220018PALFrontccc.jpg,0.13
11010,Chuck E. Cheese's Game Room,chuck-e-cheeses-game-room,Misc,E,DS,UFO Interactive,Starfish,,,,0.0,0.13,0.12,,,0.01,2010.0,,http://www.vgchartz.com/game/48442/chuck-e-cheeses-game-room/?region=All,1,,/games/boxart/full_chuck-e-cheeses-game-room_3AmericaFront.jpg,0.13
