Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
3814,Spider-Man: Mysterio's Menace,spider-man-mysterios-menace,Action,E,GBA,Activision,Vicarious Visions,,,,0.0,0.61,0.43,0.16,,0.01,2001.0,,http://www.vgchartz.com/game/25470/spider-man-mysterios-menace/?region=All,1,,/games/boxart/1847379ccc.jpg,0.61
3815,Madden NFL 2000,madden-nfl-2000,Sports,E,N64,EA Sports,EA Tiburon,,,,0.0,0.61,0.58,0.02,,0.0,1999.0,,http://www.vgchartz.com/game/1221/madden-nfl-2000/?region=All,1,,/games/boxart/5787855ccc.jpg,0.61
3816,Game & Watch Gallery 4,game-amp-watch-gallery-4,Misc,E,GBA,Nintendo,Nintendo,,6.4,,0.0,0.61,0.43,0.16,,0.01,2002.0,,http://www.vgchartz.com/game/13396/game-amp-watch-gallery-4/?region=All,1,,/games/boxart/7351646ccc.jpg,0.61
3817,Naruto: Ultimate Ninja (US sales),naruto-ultimate-ninja-us-sales,Fighting,T,PS2,Namco Bandai Games,CyberConnect2,,,,0.0,0.61,0.5,0.02,,0.08,2008.0,,http://www.vgchartz.com/game/1485/naruto-ultimate-ninja-us-sales/?region=All,1,,/games/boxart/3115723ccc.jpg,0.61
3818,New Carnival Games,new-carnival-games,Misc,E,Wii,2K Games,Cat Daddy Games,,,,0.0,0.61,0.34,0.21,,0.06,2010.0,,http://www.vgchartz.com/game/45458/new-carnival-games/?region=All,1,,/games/boxart/full_new-carnival-games_1AmericaFront.jpg,0.61
3819,Wipeout: The Game,wipeout-the-game,Misc,E,DS,Activision,Endemol,,,,0.0,0.61,0.56,,,0.04,2010.0,,http://www.vgchartz.com/game/44234/wipeout-the-game/?region=All,1,,/games/boxart/full_7770393AmericaFrontccc.jpg,0.61
3820,Dragon Age: Inquisition,dragon-age-inquisition,Role-Playing,M,PS3,Electronic Arts,BioWare Edmonton,,,,0.0,0.61,0.27,0.18,0.06,0.09,2014.0,05th Jan 19,http://www.vgchartz.com/game/71355/dragon-age-inquisition/?region=All,1,,/games/boxart/full_7105926AmericaFrontccc.jpg,0.61
3821,Tony Hawk's Underground,tony-hawks-underground,Sports,E,GBA,Activision,Vicarious Visions,,,,0.0,0.6,0.43,0.16,,0.01,2003.0,,http://www.vgchartz.com/game/28621/tony-hawks-underground/?region=All,1,,/games/boxart/full_646920AmericaFrontccc.jpg,0.6
3822,Monster Trucks,monster-trucks,Racing,E,GBA,Majesco,Skyworks Technologies,,,,0.0,0.6,0.43,0.16,,0.01,2004.0,,http://www.vgchartz.com/game/27514/monster-trucks/?region=All,1,,/games/boxart/full_8526446AmericaFrontccc.jpg,0.6
3823,Doom 3 BFG Edition,doom-3-bfg-edition,Misc,,PC,Bethesda Softworks,Unknown,,,,0.6,0.0,,,,,2012.0,,http://www.vgchartz.com/game/71020/doom-3-bfg-edition/?region=All,1,,/games/boxart/full_7027154AmericaFrontccc.jpg,0.6
3824,Wave Race: Blue Storm,wave-race-blue-storm,Racing,E,GC,Nintendo,Nintendo Software Technology Corporation,,8.4,,0.0,0.6,0.4,0.1,0.09,0.02,2001.0,,http://www.vgchartz.com/game/2642/wave-race-blue-storm/?region=All,1,,/games/boxart/6277337ccc.jpg,0.6
3825,Ben 10: Alien Force,ben-10-alien-force,Action,E10,PSP,D3 Publisher,Monkey Bar Games,,5.2,,0.0,0.6,0.36,0.14,,0.11,2008.0,,http://www.vgchartz.com/game/24253/ben-10-alien-force/?region=All,1,,/games/boxart/full_9546002AmericaFrontccc.jpg,0.6
3826,Backyard Wrestling: Don't Try This at Home,backyard-wrestling-dont-try-this-at-home,Fighting,M,PS2,Eidos Interactive,Paradox Development,,6.0,,0.0,0.6,0.3,0.23,,0.08,2003.0,,http://www.vgchartz.com/game/4846/backyard-wrestling-dont-try-this-at-home/?region=All,1,,/games/boxart/9131941ccc.jpg,0.6
3827,FORCED,forced,Misc,,PC,BetaDwarf,Unknown,,,,0.6,0.0,,,,,2013.0,,http://www.vgchartz.com/game/76885/forced/?region=All,1,,/games/boxart/full_7964898AmericaFrontccc.jpg,0.6
