Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
12001,Rock Band: Metal Track Pack,rock-band-metal-track-pack,Misc,T,PS2,MTV Games,Harmonix Music Systems,,,,0.0,0.11,0.05,0.04,,0.01,2009.0,,http://www.vgchartz.com/game/38208/rock-band-metal-track-pack/?region=All,1,,/games/boxart/full_2401295AmericaFrontccc.jpg,0.11
12002,Sonic Generations,sonic-generations,Platform,E,PC,Sega,Sega,,8.3,,0.0,0.11,0.02,0.07,,0.02,2011.0,,http://www.vgchartz.com/game/67113/sonic-generations/?region=All,1,,/games/boxart/full_sonic-generations_138PALFront.jpg,0.11
12003,Burnout Paradise Remastered,burnout-paradise-remastered,Racing,E10,XOne,Electronic Arts,Stellar Entertainment,,8.0,,0.0,0.11,0.06,0.04,,0.01,2018.0,24th Feb 18,http://www.vgchartz.com/game/221165/burnout-paradise-remastered/?region=All,1,,/games/boxart/full_6900526AmericaFrontccc.png,0.11
12004,Frogger: Helmet Chaos,frogger-helmet-chaos,Platform,E,PSP,Konami,Konami Computer Entertainment Hawaii,,7.0,,0.0,0.11,0.1,0.0,,0.01,2005.0,,http://www.vgchartz.com/game/813/frogger-helmet-chaos/?region=All,1,,/games/boxart/full_4348387AmericaFrontccc.jpg,0.11
12005,Replica,replica,Visual Novel,,PC,Somi,Somi,,,,0.11,0.0,,,,,2016.0,04th Apr 19,http://www.vgchartz.com/game/224240/replica/?region=All,1,,/games/boxart/full_565004AmericaFrontccc.jpg,0.11
12006,Robotech: Invasion,robotech-invasion,Shooter,T,PS2,Global Star Software,Vicious Cycle,,,,0.0,0.11,0.05,0.04,,0.01,2004.0,,http://www.vgchartz.com/game/5643/robotech-invasion/?region=All,1,,/games/boxart/full_4239967AmericaFrontccc.jpg,0.11
12007,fault - milestone one,fault-milestone-one,Visual Novel,,PC,Sekai Project,ALICE IN DISSONANCE,,,,0.11,0.0,,,,,2013.0,04th Apr 19,http://www.vgchartz.com/game/224237/fault-milestone-one/?region=All,1,,/games/boxart/full_7156591AmericaFrontccc.jpg,0.11
12008,Rock Band: Metal Track Pack,rock-band-metal-track-pack,Misc,T,Wii,MTV Games,Harmonix Music Systems,,,,0.0,0.11,0.1,,,0.01,2009.0,,http://www.vgchartz.com/game/38210/rock-band-metal-track-pack/?region=All,1,,/games/boxart/full_347030AmericaFrontccc.jpg,0.11
12009,Dr. Seuss' The Cat in the Hat,dr-seuss-the-cat-in-the-hat,Adventure,E,XB,VU Games,Magenta Software,,,,0.0,0.11,0.08,0.02,,0.0,2003.0,,http://www.vgchartz.com/game/565/dr-seuss-the-cat-in-the-hat/?region=All,1,,/games/boxart/8030202ccc.jpg,0.11
12010,Hellboy: The Science of Evil,hellboy-the-science-of-evil,Action,T,X360,Konami,Krome Studios,,,,0.0,0.11,0.1,0.0,,0.01,2008.0,,http://www.vgchartz.com/game/24226/hellboy-the-science-of-evil/?region=All,1,,/games/boxart/6519053ccc.jpg,0.11
12011,Irozuki Tingle no Koi no Balloon Trip,irozuki-tingle-no-koi-no-balloon-trip,Adventure,,DS,Nintendo,Vanpool,,,,0.0,0.11,,,0.11,,2009.0,,http://www.vgchartz.com/game/36142/irozuki-tingle-no-koi-no-balloon-trip/?region=All,1,,/games/boxart/full_5886446JapanFrontccc.jpg,0.11
12012,Sakura Dungeon,sakura-dungeon,Role-Playing,,PC,Winged Cloud,Winged Cloud,,,,0.11,0.0,,,,,2016.0,04th Apr 19,http://www.vgchartz.com/game/224236/sakura-dungeon/?region=All,1,,/games/boxart/full_2824468AmericaFrontccc.jpg,0.11
12013,Sword Art Online: Lost Song,sword-art-online-lost-song,Role-Playing,,PS3,Namco Bandai Games,Namco Bandai Games,,,,0.0,0.11,,,0.11,,2015.0,,http://www.vgchartz.com/game/84639/sword-art-online-lost-song/?region=All,1,,/games/boxart/full_3180230JapanFrontccc.jpg,0.11
12014,Where the Wild Things Are,where-the-wild-things-are,Platform,E10,PS3,Warner Bros. Interactive,Amaze Entertainment,,,,0.0,0.11,0.09,0.01,,0.01,2009.0,,http://www.vgchartz.com/game/35198/where-the-wild-things-are/?region=All,1,,/games/boxart/full_8516235AmericaFrontccc.jpg,0.11
12015,Champion Jockey: G1 Jockey & Gallop Racer,champion-jockey-g1-jockey-amp-gallop-racer,Sports,E,Wii,Tecmo Koei,Tecmo Koei Games,,,,0.0,0.11,0.06,0.03,0.01,0.01,2011.0,31st Jul 18,http://www.vgchartz.com/game/53309/champion-jockey-g1-jockey-amp-gallop-racer/?region=All,1,,/games/boxart/full_champion-jockey-g1-jockey-ampamp-gallop-racer_846AmericaFront.jpg,0.11
12016,HOP,hop,Platform,E,DS,505 Games,505 Games,,,,0.0,0.11,0.09,0.01,,0.01,2011.0,,http://www.vgchartz.com/game/49798/hop/?region=All,1,,/games/boxart/full_hop_231AmericaFront.jpg,0.11
12017,Metal Gear Solid V: The Definitive Experience,metal-gear-solid-v-the-definitive-experience,Action,M,XOne,Konami Digital Entertainment,Kojima Productions,,,,0.0,0.11,0.1,,,0.01,2016.0,29th May 18,http://www.vgchartz.com/game/132808/metal-gear-solid-v-the-definitive-experience/?region=All,1,,/games/boxart/full_341124AmericaFrontccc.jpg,0.11
12018,Sniper Elite,sniper-elite,Shooter,M,Wii,Reef Entertainment,Reef Entertainment,,,,0.0,0.11,0.07,0.02,,0.01,2010.0,,http://www.vgchartz.com/game/43448/sniper-elite/?region=All,1,,/games/boxart/full_sniper-elite_1AmericaFront.jpg,0.11
12019,Cats & Dogs: The Revenge of Kitty Galore,cats-amp-dogs-the-revenge-of-kitty-galore,Action,E,DS,505 Games,Warner Bros. Interactive Entertainment,,,,0.0,0.11,0.1,0.0,,0.01,2010.0,,http://www.vgchartz.com/game/46204/cats-amp-dogs-the-revenge-of-kitty-galore/?region=All,1,,/games/boxart/full_cats-ampamp-dogs-the-revenge-of-kitty-galore_5AmericaFront.jpg,0.11
12020,Astro Boy: The Video Game,astro-boy-the-video-game,Action,E10,Wii,D3 Publisher,High Voltage Software,,5.3,,0.0,0.11,0.1,0.0,,0.01,2009.0,,http://www.vgchartz.com/game/34275/astro-boy-the-video-game/?region=All,1,,/games/boxart/full_6145399AmericaFrontccc.jpg,0.11
12021,Call of Duty: Modern Warfare Trilogy,call-of-duty-modern-warfare-trilogy,Shooter,M,PS3,Activision,Infinity Ward,,,,0.0,0.11,0.07,0.02,,0.02,2016.0,14th Jan 18,http://www.vgchartz.com/game/115631/call-of-duty-modern-warfare-trilogy/?region=All,1,,/games/boxart/full_9024600AmericaFrontccc.jpg,0.11
12022,Vanishing Realms,vanishing-realms,Role-Playing,,PC,Indimo Labs LLC,Indimo Labs LLC,,,,0.11,0.0,,,,,2016.0,04th Apr 19,http://www.vgchartz.com/game/224231/vanishing-realms/?region=All,1,,/games/boxart/full_7079500AmericaFrontccc.jpg,0.11
