Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
2001,Cool Boarders 4,cool-boarders-4,Sports,E,PS,989 Studios,Idol Minds Digital Entertainment,,,,0.0,1.17,0.65,0.44,,0.08,1999.0,,http://www.vgchartz.com/game/31203/cool-boarders-4/?region=All,1,,/games/boxart/full_7474381AmericaFrontccc.jpg,1.17
2002,Army of Two,army-of-two,Shooter,M,PS3,Electronic Arts,EA Montreal,,7.4,6.9,0.0,1.17,0.74,0.26,0.02,0.15,2008.0,03rd Feb 18,http://www.vgchartz.com/game/13641/army-of-two/?region=All,1,,/games/boxart/8108434ccc.jpg,1.17
2003,Rage Racer,rage-racer,Racing,E,PS,Namco,Namco,,,,0.0,1.17,0.16,0.11,0.83,0.08,1997.0,,http://www.vgchartz.com/game/1828/rage-racer/?region=All,1,,/games/boxart/full_5609719AmericaFrontccc.jpg,1.17
2004,Medal of Honor: Rising Sun,medal-of-honor-rising-sun,Shooter,T,XB,Electronic Arts,EA Los Angeles,,,,0.0,1.17,0.76,0.36,,0.05,2003.0,,http://www.vgchartz.com/game/6337/medal-of-honor-rising-sun/?region=All,1,,/games/boxart/full_444594AmericaFrontccc.jpg,1.17
2005,Destruction Derby 2,destruction-derby-2,Racing,E,PS,Sony Computer Entertainment,Reflections Interactive,,,,0.0,1.17,0.65,0.44,,0.08,1996.0,,http://www.vgchartz.com/game/509/destruction-derby-2/?region=All,1,,/games/boxart/full_5528958AmericaFrontccc.jpg,1.17
2006,Sunset Overdrive,sunset-overdrive,Action,M,XOne,Microsoft Studios,Insomniac Games,,8.0,,0.0,1.16,0.64,0.42,0.0,0.1,2014.0,06th Jan 18,http://www.vgchartz.com/game/73069/sunset-overdrive/?region=All,1,,/games/boxart/full_7798502AmericaFrontccc.png,1.16
2007,Midnight Club 3: DUB Edition Remix,midnight-club-3-dub-edition-remix,Racing,E10,PS2,Rockstar Games,Rockstar San Diego,,,,0.0,1.16,0.97,0.04,,0.16,2006.0,,http://www.vgchartz.com/game/5353/midnight-club-3-dub-edition-remix/?region=All,1,,/games/boxart/full_7514095AmericaFrontccc.jpg,1.16
2008,WWE 2K15,wwe-2k15,Sports,T,PS4,2K Sports,Visual Concepts,,,,0.0,1.16,0.4,0.57,,0.19,2014.0,06th Jan 18,http://www.vgchartz.com/game/78592/wwe-2k15/?region=All,1,,/games/boxart/full_7653877AmericaFrontccc.jpg,1.16
2009,Tom Clancy's Ghost Recon: Jungle Storm,tom-clancys-ghost-recon-jungle-storm,Shooter,T,PS2,Ubisoft,Red Storm Entertainment,,,,0.0,1.16,0.57,0.44,,0.15,2004.0,,http://www.vgchartz.com/game/2458/tom-clancys-ghost-recon-jungle-storm/?region=All,1,,/games/boxart/2886573ccc.jpg,1.16
2010,Bushido Blade,bushido-blade,Fighting,T,PS,Sony Computer Entertainment,Light Weight,,8.2,,0.0,1.16,0.39,0.27,0.43,0.08,1997.0,,http://www.vgchartz.com/game/276/bushido-blade/?region=All,1,,/games/boxart/3770708ccc.jpg,1.16
2011,Your Shape: Fitness Evolved 2012,your-shape-fitness-evolved-2012,Sports,E,X360,Ubisoft,Ubisoft Montreal,,,,0.0,1.16,0.7,0.36,,0.1,2011.0,,http://www.vgchartz.com/game/51830/your-shape-fitness-evolved-2012/?region=All,1,,/games/boxart/full_your-shape-fitness-evolved-2012_390AmericaFront.jpg,1.16
2012,MLB The Show 17,mlb-the-show-17,Sports,E,PS4,Sony Interactive Entertainment,SIE San Diego Studio,,,,0.0,1.16,0.94,,,0.22,2017.0,17th Sep 18,http://www.vgchartz.com/game/141657/mlb-the-show-17/?region=All,1,,/games/boxart/full_9928591AmericaFrontccc.jpg,1.16
2013,Mirror's Edge,mirrors-edge,Platform,T,X360,Electronic Arts,EA Digital Illusions CE,,7.6,,0.0,1.16,0.51,0.51,0.01,0.12,2008.0,25th Mar 19,http://www.vgchartz.com/game/21686/mirrors-edge/?region=All,1,8.3,/games/boxart/full_9393461AmericaFrontccc.jpg,1.16
2014,NASCAR Thunder 2002,nascar-thunder-2002,Racing,E,PS2,EA Sports,EA Tiburon,,,,0.0,1.16,0.57,0.44,,0.15,2001.0,,http://www.vgchartz.com/game/5423/nascar-thunder-2002/?region=All,1,,/games/boxart/full_8267415AmericaFrontccc.jpg,1.16
2015,Jet Force Gemini,jet-force-gemini,Shooter,T,N64,Rare,Rare Ltd.,,8.1,,1.16,0.0,,,,,1999.0,,http://www.vgchartz.com/game/1072/jet-force-gemini/?region=All,1,,/games/boxart/5417973ccc.jpg,1.16
2016,Mario Power Tennis,mario-power-tennis,Sports,E,GC,Nintendo,Camelot Software Planning,,8.1,,1.16,0.0,,,,,2004.0,,http://www.vgchartz.com/game/1263/mario-power-tennis/?region=All,1,,/games/boxart/full_9258843AmericaFrontccc.jpg,1.16
2017,Mega Man X,mega-man-x,Platform,,SNES,Capcom,Capcom,,,,1.16,0.0,,,,,1994.0,,http://www.vgchartz.com/game/6342/mega-man-x/?region=All,1,,/games/boxart/full_334521AmericaFrontccc.jpg,1.16
2018,Pokken Tournament DX,pokken-tournament-dx,Fighting,E10,NS,Nintendo,Namco Bandai Games,,8.0,,1.16,0.0,,,,,2017.0,01st Jan 18,http://www.vgchartz.com/game/181422/pokken-tournament-dx/?region=All,1,,/games/boxart/full_8288592AmericaFrontccc.png,1.16
2019,Sega Rally Championship,sega-rally-championship,Racing,E,SAT,Sega,Sega-AM3,,,,0.0,1.16,0.21,0.16,0.77,0.02,1995.0,,http://www.vgchartz.com/game/4269/sega-rally-championship/?region=All,1,,/games/boxart/5038202ccc.jpg,1.16
2020,World of Warcraft,world-of-warcraft,MMO,T,PC,Blizzard Entertainment,Blizzard Entertainment,,9.2,8.0,1.16,0.0,,,,,2004.0,22nd Apr 18,http://www.vgchartz.com/game/6529/world-of-warcraft/?region=All,1,,/games/boxart/2497399ccc.jpg,1.16
2021,Yu-Gi-Oh! The Sacred Cards (American and Others sales),yu-gi-oh-the-sacred-cards-american-and-others-sales,Role-Playing,E,GBA,Konami,Konami,,,,0.0,1.16,0.84,0.27,,0.05,2003.0,,http://www.vgchartz.com/game/6548/yu-gi-oh-the-sacred-cards-american-and-others-sales/?region=All,1,,/games/boxart/3928132ccc.jpg,1.16
2022,Test Drive: Off Road,test-drive-off-road,Racing,E,PS,Accolade,Motivetime,,,,0.0,1.16,0.65,0.44,,0.08,1997.0,,http://www.vgchartz.com/game/2368/test-drive-off-road/?region=All,1,,/games/boxart/full_1852617AmericaFrontccc.jpg,1.16
2023,Medal of Honor Heroes 2,medal-of-honor-heroes-2,Shooter,T,PSP,Electronic Arts,Team Fusion,,6.6,,0.0,1.16,0.5,0.39,0.02,0.25,2007.0,,http://www.vgchartz.com/game/12748/medal-of-honor-heroes-2/?region=All,1,,/games/boxart/3078371ccc.jpg,1.16
2024,Spore,spore,Strategy,E10,PC,Electronic Arts,Maxis,,7.0,,0.0,1.16,0.03,1.06,,0.07,2008.0,,http://www.vgchartz.com/game/14151/spore/?region=All,1,,/games/boxart/1049035ccc.jpg,1.16
2025,FIFA Soccer 10,fifa-soccer-10,Sports,E,PSP,EA Sports,EA Canada,,7.9,,0.0,1.16,0.16,0.68,0.01,0.31,2009.0,,http://www.vgchartz.com/game/35496/fifa-soccer-10/?region=All,1,,/games/boxart/full_1875554AmericaFrontccc.jpg,1.16
2026,Sniper: Ghost Warrior,sniper-ghost-warrior,Shooter,M,X360,City Interactive,City Interactive,,4.3,,0.0,1.16,0.54,0.5,,0.12,2010.0,,http://www.vgchartz.com/game/44424/sniper-ghost-warrior/?region=All,1,,/games/boxart/full_sniper-ghost-warrior_1AmericaFront.jpg,1.16
2027,LEGO Star Wars: The Video Game,lego-star-wars-the-video-game,Action,E,XB,Eidos Interactive,Traveller's Tales,,8.0,,0.0,1.16,0.83,0.28,,0.05,2005.0,,http://www.vgchartz.com/game/5265/lego-star-wars-the-video-game/?region=All,1,,/games/boxart/full_244890AmericaFrontccc.jpg,1.16
2028,EA Sports Active: More Workouts,ea-sports-active-more-workouts,Sports,E,Wii,EA Sports,EA Vancouver,,7.9,,0.0,1.16,0.78,0.28,,0.1,2009.0,,http://www.vgchartz.com/game/39470/ea-sports-active-more-workouts/?region=All,1,,/games/boxart/full_1957452AmericaFrontccc.jpg,1.16
