Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
10001,.hack//G.U. Vol.2//Reminisce (jp sales),.hack,Role-Playing,T,PS2,Namco Bandai,CyberConnect2,,,,0.0,0.16,,,0.16,,2007.0,,http://www.vgchartz.com/game/3463/hackgu-vol2reminisce-jp-sales/?region=All,1,,/games/boxart/9123002ccc.jpg,0.16
10002,Rapala Pro Fishing,rapala-pro-fishing,Sports,E,XB,Activision,FUN Labs,,,,0.0,0.16,0.12,0.03,,0.01,2004.0,,http://www.vgchartz.com/game/1840/rapala-pro-fishing/?region=All,1,,/games/boxart/9996292ccc.jpg,0.16
10003,Pro Baseball Spirits 2015,pro-baseball-spirits-2015,Sports,,PS3,Konami Digital Entertainment,"Konami Digital Entertainment, Inc.",,,,0.0,0.16,,,0.16,,2015.0,01st May 18,http://www.vgchartz.com/game/85325/pro-baseball-spirits-2015/?region=All,1,,/games/boxart/full_7012921JapanFrontccc.jpg,0.16
10004,Ghost in the Shell: Stand Alone Complex,ghost-in-the-shell-stand-alone-complex,Adventure,M,PS2,Bandai,Cavia Inc.,,6.6,,0.0,0.16,0.08,0.06,,0.02,2004.0,,http://www.vgchartz.com/game/855/ghost-in-the-shell-stand-alone-complex/?region=All,1,,/games/boxart/5823122ccc.jpg,0.16
10005,Pillars of Eternity,pillars-of-eternity,Role-Playing,M,PS4,Paradox Interactive,Obsidian Entertainment,,8.3,,0.0,0.16,0.11,0.02,,0.03,2017.0,15th Apr 18,http://www.vgchartz.com/game/184289/pillars-of-eternity/?region=All,1,,/games/boxart/full_8230846AmericaFrontccc.jpg,0.16
10006,Ener-G: Dance Squad,ener-g-dance-squad,Sports,E,DS,Ubisoft,Lexis Numerique,,,,0.0,0.16,0.15,0.0,,0.01,2008.0,,http://www.vgchartz.com/game/25982/ener-g-dance-squad/?region=All,1,,/games/boxart/full_9368072AmericaFrontccc.jpg,0.16
10007,TNA iMPACT!,tna-impact,Fighting,T,Wii,Midway Games,Midway Studios Los Angeles,,5.3,,0.0,0.16,0.14,0.01,,0.01,2008.0,,http://www.vgchartz.com/game/15197/tna-impact/?region=All,1,4.9,/games/boxart/8368624ccc.jpg,0.16
10008,Apartment 666,apartment-666,Action-Adventure,,PC,Unknown,I Need Play,,,,0.16,0.0,,,,,2008.0,19th Mar 19,http://www.vgchartz.com/game/223894/apartment-666/?region=All,1,,/games/boxart/full_3541643AmericaFrontccc.jpg,0.16
10009,Battle Soccer: Field no Hasha,battle-soccer-field-no-hasha,Sports,,SNES,Banpresto,Banpresto,,,,0.0,0.16,,,0.16,,1992.0,,http://www.vgchartz.com/game/2893/battle-soccer-field-no-hasha/?region=All,1,,/games/boxart/full_3379753JapanFrontccc.jpg,0.16
10010,Rudolph the Red-Nosed Reindeer,rudolph-the-red-nosed-reindeer,Action,E,DS,Crave Entertainment,Glyphic Entertainment,,,,0.0,0.16,0.15,,,0.01,2010.0,,http://www.vgchartz.com/game/47522/rudolph-the-red-nosed-reindeer/?region=All,1,,/games/boxart/full_rudolph-the-red-nosed-reindeer_9AmericaFront.jpg,0.16
10011,Scarface: Money. Power. Respect.,scarface-money-power-respect,Strategy,M,PSP,Sierra Entertainment,Radical Entertainment,,6.4,,0.0,0.16,0.15,0.0,,0.01,2006.0,,http://www.vgchartz.com/game/1980/scarface-money-power-respect/?region=All,1,,/games/boxart/8543826ccc.jpg,0.16
10012,Sid Meier's Ace Patrol,sid-meiers-ace-patrol,Strategy,,PC,2K Games,Firaxis Games,,,,0.16,0.0,,,,,2013.0,19th Mar 19,http://www.vgchartz.com/game/223895/sid-meiers-ace-patrol/?region=All,1,,/games/boxart/full_9246878AmericaFrontccc.jpg,0.16
10013,Yomawari: Night Alone,yomawari-night-alone,Adventure,,PSV,NIS America,Nippon Ichi Software,,,,0.0,0.16,0.05,0.02,0.07,0.02,2016.0,30th Jun 18,http://www.vgchartz.com/game/86152/yomawari-night-alone/?region=All,1,,/games/boxart/full_8702665PALFrontccc.jpg,0.16
10014,FlatOut 2,flatout-2,Racing,T,PS2,Vivendi Games,Bugbear Entertainment,,,,0.0,0.16,0.08,0.06,,0.02,2006.0,,http://www.vgchartz.com/game/5116/flatout-2/?region=All,1,,/games/boxart/4359083ccc.jpg,0.16
10015,Custom Robo Arena,custom-robo-arena,Fighting,E10,DS,Nintendo,Noise Inc.,,7.4,,0.0,0.16,0.01,0.02,0.12,0.0,2007.0,,http://www.vgchartz.com/game/3029/custom-robo-arena/?region=All,1,,/games/boxart/full_1875392AmericaFrontccc.jpg,0.16
