Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
9001,Descent,descent,Shooter,T,PS,Interplay,Parallax Software,,,,0.0,0.19,0.11,0.07,,0.01,1996.0,,http://www.vgchartz.com/game/504/descent/?region=All,1,,/games/boxart/full_9502774AmericaFrontccc.jpg,0.19
9002,Closure,closure,Platform,,PC,Glaiel Games,Glaiel Games,,,,0.19,0.0,,,,,2009.0,,http://www.vgchartz.com/game/38913/closure/?region=All,1,,/games/boxart/full_closure_13AmericaFront.jpg,0.19
9003,Rabiez: Epidemic,rabiez-epidemic,Strategy,,PC,Unknown,Sekerin Productions,,,,0.19,0.0,,,,,2009.0,01st Mar 19,http://www.vgchartz.com/game/223756/rabiez-epidemic/?region=All,1,,/games/boxart/full_4451966AmericaFrontccc.jpg,0.19
9004,Conflict: Denied Ops,conflict-denied-ops,Shooter,M,X360,Eidos Interactive,Pivotal Games,,5.3,,0.0,0.19,0.08,0.09,,0.02,2008.0,,http://www.vgchartz.com/game/15965/conflict-denied-ops/?region=All,1,,/games/boxart/2169392ccc.jpg,0.19
9005,Enchanted Arms,enchanted-arms,Role-Playing,T,X360,Ubisoft,From Software,,6.9,,0.0,0.19,0.16,0.02,,0.01,2006.0,,http://www.vgchartz.com/game/644/enchanted-arms/?region=All,1,,/games/boxart/4969272ccc.jpg,0.19
9006,Test Drive Unlimited 2,test-drive-unlimited-2,Racing,T,PC,Atari,Eden Studios,,6.7,,0.0,0.19,0.05,0.11,,0.03,2011.0,,http://www.vgchartz.com/game/43817/test-drive-unlimited-2/?region=All,1,,/games/boxart/full_test-drive-unlimited-2_108AmericaFront.jpg,0.19
9007,SpongeBob SquigglePants 3D,spongebob-squigglepants-3d,Misc,E,3DS,THQ,WayForward Technologies,,6.1,,0.0,0.19,0.13,0.05,,0.02,2011.0,,http://www.vgchartz.com/game/50236/spongebob-squigglepants-3d/?region=All,1,,/games/boxart/full_spongebob-squigglepants_50AmericaFront.jpg,0.19
9008,South Park: The Stick of Truth,south-park-the-stick-of-truth,Role-Playing,M,PC,Ubisoft,Obsidian Entertainment,,,,0.0,0.19,0.07,0.1,,0.02,2014.0,26th Jan 18,http://www.vgchartz.com/game/71110/south-park-the-stick-of-truth/?region=All,1,,/games/boxart/full_363408AmericaFrontccc.jpeg,0.19
9009,Taiko no Tatsujin: Wii U Version!,taiko-no-tatsujin-wii-u-version,Music,,WiiU,Namco Bandai Games,Bandai Namco Games,,,,0.0,0.19,,,0.19,,2013.0,18th Sep 18,http://www.vgchartz.com/game/77451/taiko-no-tatsujin-wii-u-version/?region=All,1,,/games/boxart/full_2510286JapanFrontccc.jpg,0.19
9010,Bless Online,bless-online,MMO,,PC,Unknown,Neowiz Corporation,,,,0.19,0.0,,,,,2013.0,01st Mar 19,http://www.vgchartz.com/game/223757/bless-online/?region=All,1,,/games/boxart/full_61596AmericaFrontccc.jpg,0.19
9011,Disney's Magical Mirror Starring Mickey Mouse,disneys-magical-mirror-starring-mickey-mouse,Adventure,E,GC,Nintendo,Capcom,,4.0,,0.0,0.19,0.15,0.04,,0.01,2002.0,,http://www.vgchartz.com/game/541/disneys-magical-mirror-starring-mickey-mouse/?region=All,1,,/games/boxart/3124017ccc.jpg,0.19
9012,Dawn of Discovery,dawn-of-discovery,Simulation,E10,Wii,Ubisoft,Sunflowers Interactive,,7.9,,0.0,0.19,0.12,0.06,,0.01,2009.0,,http://www.vgchartz.com/game/32231/dawn-of-discovery/?region=All,1,7.8,/games/boxart/full_8891168AmericaFrontccc.jpg,0.19
9013,Super Star,super-star,Visual Novel,,PC,Unknown,Dream Works,,,,0.19,0.0,,,,,2009.0,01st Mar 19,http://www.vgchartz.com/game/223758/super-star/?region=All,1,,/games/boxart/full_975275AmericaFrontccc.jpg,0.19
9014,FIFA 17,fifa-17,Sports,E,PC,Electronic Arts,EA Canada,,,,0.0,0.19,,0.18,,0.01,2016.0,28th Mar 18,http://www.vgchartz.com/game/131413/fifa-17/?region=All,1,,/games/boxart/full_6678540PALFrontccc.jpg,0.19
9015,Barbie Fashion Show: An Eye for Style,barbie-fashion-show-an-eye-for-style,Misc,E,DS,Activision,Activision,,,,0.0,0.19,0.18,0.0,,0.01,2008.0,,http://www.vgchartz.com/game/27438/barbie-fashion-show-an-eye-for-style/?region=All,1,,/games/boxart/full_9084230AmericaFrontccc.jpg,0.19
9016,Final Fantasy XI: Online,final-fantasy-xi-online,Role-Playing,T,X360,Square Enix,Square Enix,,6.7,,0.0,0.19,0.17,0.01,,0.01,2006.0,,http://www.vgchartz.com/game/763/final-fantasy-xi-online/?region=All,1,,/games/boxart/full_7428182AmericaFrontccc.jpg,0.19
9017,IHRA Professional Drag Racing 2005,ihra-professional-drag-racing-2005,Racing,E,PS2,Bethesda Softworks,Bethesda Softworks,,,,0.0,0.19,0.09,0.07,,0.02,2004.0,,http://www.vgchartz.com/game/5214/ihra-professional-drag-racing-2005/?region=All,1,,/games/boxart/full_5233466AmericaFrontccc.jpg,0.19
9018,SpongeBob's Surf & Skate Roadtrip,spongebobs-surf-amp-skate-roadtrip,Action,E,X360,THQ,THQ,,,,0.0,0.19,0.15,0.03,,0.02,2011.0,,http://www.vgchartz.com/game/59924/spongebobs-surf-amp-skate-roadtrip/?region=All,1,,/games/boxart/full_spongebobs-surf-amp-skate-roadtrip_568AmericaFront.jpg,0.19
9019,Mace Griffin: Bounty Hunter,mace-griffin-bounty-hunter,Shooter,M,PS2,VU Games,Warthog,,,,0.0,0.19,0.09,0.07,,0.02,2003.0,,http://www.vgchartz.com/game/5282/mace-griffin-bounty-hunter/?region=All,1,,/games/boxart/full_3775020AmericaFrontccc.jpg,0.19
9020,The Spiderwick Chronicles,the-spiderwick-chronicles,Adventure,E10,Wii,Sierra Entertainment,Stormfront Studios,,,,0.0,0.19,0.17,0.01,,0.01,2008.0,,http://www.vgchartz.com/game/15713/the-spiderwick-chronicles/?region=All,1,,/games/boxart/5301985ccc.jpg,0.19
9021,Legacy of Kain: Defiance,legacy-of-kain-defiance,Adventure,M,XB,Eidos Interactive,Crystal Dynamics,,,,0.0,0.19,0.14,0.04,,0.01,2003.0,,http://www.vgchartz.com/game/1156/legacy-of-kain-defiance/?region=All,1,,/games/boxart/771798ccc.jpg,0.19
9022,Jalopy,jalopy,Simulation,,PC,Unknown,Minskworks,,,,0.19,0.0,,,,,2003.0,01st Mar 19,http://www.vgchartz.com/game/223759/jalopy/?region=All,1,,/games/boxart/full_8410235AmericaFrontccc.jpg,0.19
9023,Trivial Pursuit unhinged,trivial-pursuit-unhinged,Misc,T,PS2,Atari,Artech Studios,,,,0.0,0.19,0.09,0.07,,0.02,2004.0,,http://www.vgchartz.com/game/5945/trivial-pursuit-unhinged/?region=All,1,,/games/boxart/full_5418468AmericaFrontccc.jpg,0.19
9024,Tales of the World: Narikiri Dungeon 2,tales-of-the-world-narikiri-dungeon-2,Role-Playing,,GBA,Namco,Alfa System,,,,0.0,0.19,,,0.19,0.0,2002.0,,http://www.vgchartz.com/game/4510/tales-of-the-world-narikiri-dungeon-2/?region=All,1,,/games/boxart/full_4165818JapanFrontccc.jpg,0.19
9025,Majin and the Forsaken Kingdom,majin-and-the-forsaken-kingdom,Adventure,T,X360,Namco Bandai,Game Republic,,7.0,,0.0,0.19,0.14,0.03,0.0,0.01,2010.0,,http://www.vgchartz.com/game/43812/majin-and-the-forsaken-kingdom/?region=All,1,,/games/boxart/full_majin-and-the-forsaken-kingdom_0AmericaFront.jpg,0.19
9026,Aliens versus Predator: Extinction,aliens-versus-predator-extinction,Strategy,T,PS2,Electronic Arts,Zono Incorporated,,,,0.0,0.19,0.09,0.07,,0.02,2003.0,,http://www.vgchartz.com/game/4815/aliens-versus-predator-extinction/?region=All,1,,/games/boxart/full_9777855AmericaFrontccc.jpg,0.19
9027,Silent Scope 2: Dark Silhouette,silent-scope-2-dark-silhouette,Shooter,M,PS2,Konami,Konami Computer Entertainment Tokyo,,,,0.0,0.19,0.09,0.07,,0.02,2001.0,,http://www.vgchartz.com/game/26937/silent-scope-2-dark-silhouette/?region=All,1,,/games/boxart/full_8180247AmericaFrontccc.jpg,0.19
9028,Dave Mirra Freestyle BMX 2,dave-mirra-freestyle-bmx-2,Sports,T,GBA,Acclaim Entertainment,Full Fat,,8.0,,0.0,0.19,0.14,0.05,,0.0,2001.0,,http://www.vgchartz.com/game/18694/dave-mirra-freestyle-bmx-2/?region=All,1,,/games/boxart/4331479ccc.jpg,0.19
9029,International Cricket 2010,international-cricket-2010,Sports,,PS3,Codemasters,Trickstar Games,,,,0.0,0.19,,0.15,,0.04,2010.0,,http://www.vgchartz.com/game/44220/international-cricket-2010/?region=All,1,,/games/boxart/full_9102220PALFrontccc.jpg,0.19
9030,Jikkyou Powerful Pro Yakyuu '96 Kaimakuban,jikkyou-powerful-pro-yakyuu-96-kaimakuban,Sports,,SNES,Konami,Diamond Head,,,,0.0,0.19,,,0.19,0.0,1996.0,,http://www.vgchartz.com/game/4081/jikkyou-powerful-pro-yakyuu-96-kaimakuban/?region=All,1,,/games/boxart/full_6935745JapanFrontccc.jpg,0.19
9031,Mars: War Logs,mars-war-logs,Misc,,PC,Focus Home Interactive,Unknown,,,,0.19,0.0,,,,,2013.0,,http://www.vgchartz.com/game/76434/mars-war-logs/?region=All,1,,/games/boxart/full_9015640AmericaFrontccc.jpg,0.19
9032,NHL Hitz Pro,nhl-hitz-pro,Sports,E,PS2,Midway Games,Next Level Games,,,,0.0,0.19,0.09,0.07,,0.02,2003.0,,http://www.vgchartz.com/game/5540/nhl-hitz-pro/?region=All,1,,/games/boxart/3187742ccc.jpg,0.19
9033,Tokimeki Memorial Girl's Side 3rd Story,tokimeki-memorial-girls-side-3rd-story,Adventure,,DS,Konami,Konami,,,,0.0,0.19,,,0.19,,2010.0,,http://www.vgchartz.com/game/44549/tokimeki-memorial-girls-side-3rd-story/?region=All,1,,/games/boxart/full_7561844JapanFrontccc.jpg,0.19
9034,I SPY castle,i-spy-castle,Puzzle,E,DS,Scholastic Inc.,Scholastic Media,,,,0.0,0.19,0.17,,,0.02,2011.0,,http://www.vgchartz.com/game/63150/i-spy-castle/?region=All,1,,/games/boxart/full_i-spy-castle_497AmericaFront.jpg,0.19
