Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
17001,Otome wa Oanesama ni Koi Shiteru Portable: 2-Jin no Elder,otome-wa-oanesama-ni-koi-shiteru-portable-2-jin-no-elder,Adventure,,PSP,Alchemist,Alchemist,,,,0.0,0.03,,,0.03,,2011.0,,http://www.vgchartz.com/game/50284/otome-wa-oanesama-ni-koi-shiteru-portable-2-jin-no-elder/?region=All,1,,/games/boxart/full_otome-wa-oanesama-ni-koi-shiteru-portable-2-jin-no-elder_933JapanFront.jpg,0.03
17002,Little Bears,little-bears,Simulation,E,DS,Zoo Games,B-Alive,,,,0.0,0.03,0.03,,,0.0,2010.0,,http://www.vgchartz.com/game/44852/little-bears/?region=All,1,,/games/boxart/full_1652828AmericaFrontccc.jpg,0.03
17003,Monster Hunter Frontier Online: Forward 1,monster-hunter-frontier-online-forward-1,Role-Playing,,X360,Capcom,Capcom,,,,0.0,0.03,,,0.03,,2011.0,,http://www.vgchartz.com/game/50894/monster-hunter-frontier-online-forward-1/?region=All,1,,/games/boxart/default.jpg,0.03
17004,Check vs. Mate,check-vs-mate,Misc,T,PC,Unknown,TopWare Interactive,,,,0.0,0.03,,0.02,,0.0,2011.0,,http://www.vgchartz.com/game/45895/check-vs-mate/?region=All,1,,/games/boxart/full_battle-vs-chess_10AmericaFront.jpg,0.03
17005,D1 Professional Drift Grand Prix Series,d1-professional-drift-grand-prix-series,Racing,E10,PS2,Yuke's,Yuke's Future Media Creators,,,,0.0,0.03,0.01,0.01,,0.0,2006.0,,http://www.vgchartz.com/game/444/d1-professional-drift-grand-prix-series/?region=All,1,,/games/boxart/7885929ccc.jpg,0.03
17006,Max Payne,max-payne,Action,M,GBA,Rockstar Games,Mobius Entertainment,,7.8,,0.0,0.03,0.02,0.01,,0.0,2003.0,,http://www.vgchartz.com/game/16315/max-payne/?region=All,1,,/games/boxart/full_max-payne_116AmericaFront.jpg,0.03
17007,Timeshock! Pro Pinball,timeshock-pro-pinball,Misc,E,PS,Empire Interactive,Cunning Developments,,,,0.0,0.03,0.02,0.01,,0.0,1998.0,,http://www.vgchartz.com/game/13084/timeshock-pro-pinball/?region=All,1,,/games/boxart/9490939ccc.jpg,0.03
17008,Check vs. Mate,check-vs-mate,Misc,T,X360,Unknown,TopWare Interactive,,,,0.0,0.03,,0.03,,0.0,1998.0,,http://www.vgchartz.com/game/45893/check-vs-mate/?region=All,1,,/games/boxart/full_battle-vs-chess_7AmericaFront.jpg,0.03
17009,Baja: Edge of Control HD,baja-edge-of-control-hd,Racing,E,PS4,THQ Nordic,2XL Games,,,,0.0,0.03,0.02,,,0.01,2017.0,29th Jun 18,http://www.vgchartz.com/game/203188/baja-edge-of-control-hd/?region=All,1,,/games/boxart/full_707014AmericaFrontccc.jpg,0.03
17010,Warhammer: Mark of Chaos,warhammer-mark-of-chaos,Strategy,M,PC,Namco Bandai,Black Hole Entertainment,,,,0.0,0.03,,0.02,,0.0,2006.0,,http://www.vgchartz.com/game/31540/warhammer-mark-of-chaos/?region=All,1,,/games/boxart/full_6425881AmericaFrontccc.jpg,0.03
17011,Starry * Sky: In Winter - PSP Edition,starry-sky-in-winter-psp-edition,Adventure,,PSP,Asgard,Asgard,,,,0.0,0.03,,,0.03,,2011.0,,http://www.vgchartz.com/game/44538/starry-sky-in-winter-psp-edition/?region=All,1,,/games/boxart/full_starry-sky-in-winter-psp-edition_42JapanFront.jpg,0.03
17012,Rush Hour,rush-hour,Racing,E,PS,Psygnosis,Clockwork Games,,,,0.0,0.03,0.02,0.01,,0.0,1997.0,,http://www.vgchartz.com/game/30624/rush-hour/?region=All,1,,/games/boxart/full_7016569AmericaFrontccc.jpg,0.03
